,episode_number,title,description,updated_at,duration,uploaded_at,counts,urls
80,445,The Falcon and the Winter Soldier,"Sí, también le dedicamos podcast a The Falcon and the Winter Soldier.

#Podcast #Television #Series #DisneyPlus #Marvel #TheFalcon #TheWinterSoldier #AnthonyMackie #SebastianStan",2021-04-30T00:10:02.000Z,71,2021-04-30T00:07:05.000Z,3604,https://audioboom.com/posts/7855821-445-the-falcon-and-the-winter-soldier
81,Oscars 2021,,"Nuestro podcast sobre los últimos Oscars (¿tal vez de la historia?) es casi tan caótico como la fallidísima ceremonia, aunque creemos que más divertido. ¡Escuchanos!

#Podcast #Cine #Peliculas #Oscars #AcademyAwards #TheFather #JudasandtheBlackMessiah #Mank #Minari #Nomadland #PromisingYoungWoman #SoundofMetal #TheTrialoftheChicago7",2022-05-11T17:28:37.756Z,57,2021-04-28T00:07:02.000Z,3723,https://audioboom.com/posts/7854159-oscars-2021
82,444,Minari,"¡ÁLBUM LLENO! Este podcast es sobre Minari, la única nominada al Oscar a la Mejor Película de la que todavía no habíamos hablado. ¿La viste? ¡Escuchanos!

#Podcast #Peliculas #Cine #Minari #LeeIsaacChung",2021-05-09T16:05:49.000Z,38,2021-04-23T23:44:19.000Z,2136,https://audioboom.com/posts/7851881-444-minari
83,443,Nomadland,"Este podcast es sobre Nomadland, ¿la próxima ""Mejor Película"" según los Oscars? Si ya la viste, escuchanos.

#Podcast #Peliculas #Cine #Nomadland #ChloeZhao #FrancesMcDormand",2021-05-10T13:02:32.000Z,48,2021-04-20T00:01:15.000Z,3158,https://audioboom.com/posts/7847979-443-nomadland
84,442,Judas and the Black Messiah,"Este podcast es sobre Judas and the Black Messiah, otra nominada al Oscar a la Mejor Película de este año que sucede en la ciudad de Chicago, en 1968. Si la viste, escuchanos.

#Podcast #Peliculas #Cine #Judas #TheBlackMessiah #ShakaKing",2021-04-23T23:40:36.000Z,47,2021-04-16T22:36:32.000Z,2465,https://audioboom.com/posts/7846378-442-judas-and-the-black-messiah
85,441,The Father,"Este podcast es sobre The Father, una de las nominadas al Oscar a la Mejor Película de este año de la que nos faltaba hablar. Si la viste, y te acordás de haberla visto, escuchanos.

#Podcast #Peliculas #Cine #TheFather #FlorianZeller #AnthonyHopkins #OliviaColman #Oscars #MejorPelicula",2021-04-23T23:40:38.000Z,40,2021-04-13T00:00:11.000Z,2860,https://audioboom.com/posts/7842925-441-the-father
86,440,Godzilla vs. Kong,"Acá está nuestro podcast sobre Godzilla vs. Kong, una película que cumple lo que promete su título, y un poco más. Si ya la viste, escuchanos.

#Podcast #Cine #Peliculas #GodzillavsKong #Godzilla #Gojira #KingKong #AdamWindgard #MonsterVerse",2021-04-09T22:13:01.000Z,58,2021-04-02T23:49:05.000Z,4314,https://audioboom.com/posts/7836519-440-godzilla-vs-kong
87,439,Zack Snyder's Justice League,"En este extensísimo podcast hablamos sobre la extrañísima Zack Snyder's Justice League y su interesantísima historia. Si la viste... Lo lamentamos un montón. Si no, podés escucharnos igual.

#Podcast #Cine #DC #JusticeLeague #LaLigaDeLaJusticia #ZackSnyder #JossWhedon",2022-03-19T02:11:12.296Z,148,2021-03-22T23:00:10.000Z,6272,https://audioboom.com/posts/7828259-439-zack-snyder-s-justice-league
88,438,Shaun of the Dead,"Con ustedes, nuestro podcast sobre Shaun of the Dead, una película de la que yo, Fede, tenía ganas de hablar desde que inventé Quémese.

#Podcast #Cine #Peliculas #Clasicos #ShaunoftheDead #EdgarWright #SimonPegg #NickFrost",2021-03-17T22:56:26.000Z,77,2021-03-16T00:42:28.000Z,4064,https://audioboom.com/posts/7823270-438-shaun-of-the-dead
89,437,WandaVision,"En nuestro podcast sobre WandaVision, la primera serie producida por Marvel Studios, hablamos de mucho más que de WandaVision, la primera serie producida por Marvel Studios.

#Podcast #Television #Series #DisneyPlus #Marvel #WandaVision #ElizabethOlsen #PaulBettany",2021-04-29T21:00:14.000Z,74,2021-03-08T23:08:03.000Z,6021,https://audioboom.com/posts/7818083-437-wandavision
90,436,Mad Men - 5ta. Temporada,"Acá está, por fin, nuestro podcast sobre la quinta temporada de Mad Men, en la que los 60 se sienten más que nunca.

#Podcast #Television #Series #Clasicos #AMC #MadMen #MatthewWeiner #JonHamm #ElizabethMoss",2021-03-06T00:43:08.000Z,133,2021-03-05T23:20:27.000Z,2897,https://audioboom.com/posts/7816554-436-mad-men-5ta-temporada
91,435,Brokeback Mountain,"Este podcast sobre Brokeback Mountain es nuestro regalo de San Valentín para ustedes, queridos oyentes, porque los amamos y no sabíamos como decirlo.

#Podcast #Cine #Peliculas #BrokebackMountain #AngLee #HeathLedger #JakeGyllenhaal",2021-02-15T00:02:42.000Z,50,2021-02-14T23:20:10.000Z,3522,https://audioboom.com/posts/7799901-435-brokeback-mountain
92,434,The King of Staten Island,"Este podcast es sobre The King of Staten Island, la única de nuestras favoritas del año pasado de la que nos faltaba hablar.

#Podcast #Cine #Peliculas #TheKingofStatenIsland #JuddApatow #PeteDavidson",2021-02-12T23:31:55.000Z,42,2021-02-12T23:30:14.000Z,2840,https://audioboom.com/posts/7799042-434-the-king-of-staten-island
93,433,Promising Young Woman,"En este podcast sobre Promising Young Woman, en lo único que estamos de acuerdo es en que no estamos de acuerdo. Escuchanos.

#Podcast #Cine #Peliculas #PromisingYoungWoman #EmeraldFennell #CareyMulligan #Oscars #MejorPelicula",2021-04-12T23:51:23.000Z,53,2021-02-09T01:08:55.000Z,4270,https://audioboom.com/posts/7795053-433-promising-young-woman
94,432,Sound of Metal,"Este podcast es sobre la excelente Sound of Metal, una película que hizo que nos identifiquemos con su protagonista como pocas veces.

#Podcast #Cine #Peliculas #SoundofMetal #DariusMarder #RizAhmed #Oscars #MejorPelicula",2021-04-12T23:51:20.000Z,48,2021-02-05T23:08:05.000Z,4292,https://audioboom.com/posts/7792891-432-sound-of-metal
95,431,Wolfwalkers,"En este podcast hablamos de la bellísima Wolfwalkers, sí, pero también aprovechamos y recorremos la corta historia de Cartoon Saloon, el estudio que la produjo. ¡Escuchanos!

#Podcast #Cine #Peliculas #Animacion #Wolfwalkers #CartoonSaloon",2021-02-01T23:41:55.000Z,47,2021-02-01T23:40:10.000Z,2278,https://audioboom.com/posts/7788241-431-wolfwalkers
96,Más Favoritas de la Década,,"En este podcast especial sorpresa hablamos de más de nuestras películas favoritas de la década pasada. Es extremadamente largo. Podés escucharlo en partes si querés.

#Podcast #Cine #Peliculas #Television #Series #Favoritas",2022-07-15T13:32:46.687Z,115,2021-01-26T03:00:17.000Z,7333,https://audioboom.com/posts/7781983-mas-favoritas-de-la-decada
97,Nuestras Favoritas del 2020,,"Acá está. Nuestro podcast sobre nuestras películas, series y otras cosas favoritas del 2020. Tarde, pero seguro.

#Podcast #Cine #Peliculas #Television #Series #Favoritas",2021-01-24T10:10:50.000Z,64,2021-01-19T01:14:50.000Z,5718,https://audioboom.com/posts/7775751-nuestras-favoritas-del-2020
98,430,Soul,"Uno de nuestros últimos pods del 2020 es sobre Soul, la nueva maravillosa creación de Pixar. Sepan disculpar los ruidos en la pista de Fede. No hay forma de sacarlos.

#Podcast #Cine #Peliculas #Animacion #Disney #Pixar #Soul",2022-06-23T16:56:14.235Z,54,2020-12-31T02:46:11.000Z,6894,https://audioboom.com/posts/7761949-430-soul
99,429,Wonder Woman 1984,"Uno de nuestros últimos pods del 2020 es sobre la muy decepcionante Wonder Woman 1984. ¡Incluye un par de vueltas de tuerca que seguro no se esperan!

#Podcast #Cine #Peliculas #DC #WonderWoman #LaMujerMaravilla #PattyJenkins #GalGadot #ChrisPine #KirstenWiig #PedroPascal",2020-12-31T02:26:18.000Z,75,2020-12-31T02:23:20.000Z,4050,https://audioboom.com/posts/7761933-429-wonder-woman-1984
100,428,The Mandalorian - 2da. Temporada,"Se hizo esperar, pero acá está nuestro podcast sobre la excelente segunda temporada de The Mandalorian. ¿La viste? Escuchanos.

#Podcast #Television #Series #DisneyPlus #StarWars #TheMandalorian #JonFavreau #DaveFiloni #PedroPascal ",2022-07-18T11:55:33.437Z,116,2020-12-26T00:42:14.000Z,4916,https://audioboom.com/posts/7759102-428-the-mandalorian-2da-temporada
101,427,Tenet,"Aquí lo tienen: nuestro podcast sobre Tenet, la extremadamente fallida última creación de Christopher Nolan. La hayas visto en un cine o en tu casa, escuchanos.

#Podcast #Cine #Peliculas #Tenet #ChristopherNolan",2022-03-22T03:22:52.344Z,65,2020-12-15T00:21:04.000Z,5009,https://audioboom.com/posts/7751285-427-tenet
102,426,Mank,"Este podcast es sobre Mank, una película que no es una carta de amor a la edad de oro de Hollywood.

#Podcast #Cine #Peliculas #Netflix #Mank #DavidFincher #GaryOldman #Oscars #MejorPelicula",2021-04-12T23:51:16.000Z,65,2020-12-05T01:30:15.000Z,3264,https://audioboom.com/posts/7744277-426-mank
103,425,Citizen Kane,"Este podcast es sobre Citizen Kane, la mejor película de la historia del cine.

#Podcast #Cine #Peliculas #Clasicos #CitizenKane #ElCiudadano #OrsonWelles",2020-12-05T01:23:49.000Z,55,2020-12-04T16:00:10.000Z,3243,https://audioboom.com/posts/7743955-425-citizen-kane
104,424,The Trial of the Chicago 7,"En este podcast conversamos con Dani sobre The Trial of the Chicago 7 y la ilustre carrera de guionista y director, Aaron Sorkin.

#Podcast #Cine #Peliculas #Netflix #TheTrialoftheChicago7 #ElJuiciodelos7deChicago #AaronSorkin #Oscars #MejorPelicula",2022-01-29T02:10:57.924Z,43,2020-11-20T23:48:05.000Z,4284,https://audioboom.com/posts/7734954-424-the-trial-of-the-chicago-7
105,423,Scream,"En este podcast hablamos sobre Scream, el slasher noventoso de Wes Craven que, además de asustar y entretener en partes iguales, sirve de tesis sobre el género al que pertenece.

#Podcast #Cine Peliculas #Clasicos #Scream #WesCraven #DrewBarrymore #NeveCampbell",2022-01-26T21:15:40.207Z,54,2020-11-03T00:36:47.000Z,4190,https://audioboom.com/posts/7720790-423-scream
106,422,Scott Pilgrim vs. the World,"Este podcast es sobre Scott Pilgrim vs. the World, la entretenidísima adaptación de Edgar Wright del colorido mundo creado por Bryan Lee O'Malley. ¡Escuchanos! 

#Podcast #Cine #Peliculas #ScottPilgrim #ScottPilgrimvstheWorld #EdgarWright #MichaelCera #MaryElizabethWinstead",2021-09-13T01:57:46.461Z,63,2020-10-29T22:55:13.000Z,5105,https://audioboom.com/posts/7718039-422-scott-pilgrim-vs-the-world
107,421,Night of the Living Dead,"En este podcast hablamos sobre Night of the Living Dead, la escalofriante opera prima de George Romero, responsable de la creación del zombi moderno.

#Podcast #Cine #Peliculas #Clasicos #NightoftheLivingDead #LaNochedelosMuertosVivientes #GeorgeRomero",2022-01-26T21:09:08.324Z,46,2020-10-23T00:21:23.000Z,2839,https://audioboom.com/posts/7712558-421-night-of-the-living-dead
108,420,Mad Men - 4ta. Temporada,"Acá está nuestro podcast sobre la mejor temporada de Mad Men, una de las mejores series de la historia de la televisión.

#Podcast #Television #Series #Clasicos #AMC #MadMen #MatthewWeiner #JonHamm #ElizabethMoss",2021-03-09T00:14:39.000Z,124,2020-10-21T02:08:09.000Z,3506,https://audioboom.com/posts/7710496-420-mad-men-4ta-temporada
109,419,The Boys - 2da. Temporada,"Acá está nuestro podcast sobre la segunda temporada de The Boys. Es muy completo (o sea, largo).

#Podcast #Television #Series #TheBoys",2022-07-15T16:54:38.796Z,85,2020-10-13T23:44:08.000Z,5331,https://audioboom.com/posts/7704972-419-the-boys-2da-temporada
110,418,Mean Girls,"En este podcast, el primero del que yo, Fede, no formo parte, las chicas toman el control y hablan de Mean Girls. ¡Escuchalas!

#Podcast #Cine #Peliculas #MeanGirls #ChicasPesadas #LindsayLohan",2022-01-10T20:41:16.082Z,47,2020-10-06T01:28:29.000Z,5855,https://audioboom.com/posts/7698616-418-mean-girls
111,417,Psycho,"En este podcast hablamos de Psycho, una de las mejores películas de terr... no, una de las mejores películas jamás hechas, punto. Escuchanos.

#Podcast #Cine #Peliculas #Clasicos #Psycho #Psicosis #AlfredHitchcock #MarionCrane #JanetLeigh #NormanBates #AnthonyPerkins",2020-10-05T02:52:09.000Z,59,2020-10-03T01:20:43.000Z,4117,https://audioboom.com/posts/7696970-417-psycho
112,7mo,Aniversario: Más Películas Favoritas que Nunca,"¡FELIZ CUMPLEAÑOS A NOSOTROS! Nuestro séptimo especial de aniversario viene con más películas favoritas que ninguno de los anteriores. Participan del mismo Viky, Nico, Juli, Dani, Belu... y Lucho, el hasta ahora miembro silencioso del equipo. ¡Escuchanos!

#Podcast #Cine #Peliculas #Favoritas",2022-05-11T17:29:05.429Z,114,2020-09-19T00:36:26.000Z,5487,https://audioboom.com/posts/7686319-7mo-aniversario-mas-peliculas-favoritas-que-nunca
113,416,Mulan,"En este podcast hablamos un montón sobre la versión animada de Mulan y un poco sobre su espantosa remake. ¡Escuchanos!

#Podcast #Cine #Peliculas #Clasicos #Animacion #Mulan #Disney",2021-09-13T01:39:28.814Z,77,2020-09-15T01:42:20.000Z,5310,https://audioboom.com/posts/7682667-416-mulan
114,415,I'm Thinking of Ending Things,"En este podcast intentamos entender I'm Thinking of Ending Things, la última locura de Charlie Kaufman y una película que estamos seguros de que va a terminar entre las mejores del año. ¡Escuchanos!

#Podcast #Cine #Peliculas #Netflix #ImThinkingofEndingThings #CharlieKaufman",2020-09-05T00:22:18.000Z,49,2020-09-04T23:44:10.000Z,5417,https://audioboom.com/posts/7675452-415-i-m-thinking-of-ending-things
115,414,Mad Men - 3era. Temporada,"Acá está nuestro podcast sobre la tercera temporada de Mad Men. Como era de esperar, es el más largo hasta ahora.

#Podcast #Television #Series #Clasicos #AMC #MadMen #MatthewWeiner #JonHamm #ElizabethMoss",2021-03-09T01:08:56.000Z,125,2020-09-04T18:04:15.000Z,3141,https://audioboom.com/posts/7675259-414-mad-men-3era-temporada
116,413,Singin' in the Rain,"En este podcast hablamos de la bellísima Singin' in the Rain y de como el cine es una hermosa mentira que nos encanta que nos cuenten una y otra vez. ¡Escuchanos!

#Podcast #Cine #Peliculas #Clasicos #SinginintheRain #CantandoBajolaLluvia #GeneKelly #DebbieReynolds",2020-09-03T09:08:04.000Z,43,2020-08-31T21:05:21.000Z,2389,https://audioboom.com/posts/7671690-413-singin-in-the-rain
117,El Futuro del Cine,,"Con ustedes... el primer Quémese Libre, un nuevo tipo de programa en el que hablaremos de distintos aspectos vinculados al cine. En esta ocasión, especulamos con Diego Battle sobre El Futuro del Cine.

#Podcast #Cine #Peliculas",2020-08-28T23:15:20.000Z,82,2020-08-28T23:09:55.000Z,4416,https://audioboom.com/posts/7670221-el-futuro-del-cine
118,412,Host,"En este podcast, que cuenta con el esperadísimo regreso de Nico, hablamos de Host... y de varias cosas más. ¡Escuchanos!

#Podcast #Cine #Peliculas #Shudder #Host #Zoom",2020-08-12T21:16:13.000Z,38,2020-08-12T21:14:30.000Z,3043,https://audioboom.com/posts/7656616-412-host
119,411,Mad Men - 2da. Temporada,"Acá está nuestro podcast sobre la segunda temporada de Mad Men. Es un poco más largo que el de la primera.

#Podcast #Television #Series #Clasicos #AMC #MadMen #MatthewWeiner #JonHamm #ElizabethMoss",2020-08-06T15:05:21.000Z,105,2020-08-01T01:28:29.000Z,4072,https://audioboom.com/posts/7646116-411-mad-men-2da-temporada
120,410,El Viaje de Chihiro,"En este podcast hablamos de la maravillosa El Viaje de Chihiro, de la curiosa forma de trabajar de Hayao Miyazaki, de algunos aspectos fascinantes de la cultura japonesa y de varias cosas más. ¡Escuchanos!

#Podcast #Cine #Peliculas #Animacion #StudioGhibli #ElViajedeChihiro #HayaoMiyazaki",2021-03-19T03:49:34.000Z,52,2020-07-25T01:25:32.000Z,6896,https://audioboom.com/posts/7640762-410-el-viaje-de-chihiro
121,409,Las Locuras del Emperador,"Acá está el podcast sobre Las Locuras del Emperador que les habíamos prometido. Tiene un montón de risas. Es bastante poco serio. Disfrútenlo.

#Podcast #Cine #Peliculas #Animacion #Disney #TheEmperorsNewGroove #LasLocurasdelEmperador",2020-07-27T05:15:26.000Z,56,2020-07-21T02:03:21.000Z,6138,https://audioboom.com/posts/7637217-409-las-locuras-del-emperador
122,408,Palm Springs,"Este podcast es sobre Palm Springs, una muy linda película que sucede dentro de un bucle temporal, como en el que estamos desde hace ya no sé cuanto. Si la viste, escuchanos.

#Podcast #Cine #Peliculas #PalmSprings #AndySamberg #CristinMilioti #TheLonelyIsland",2020-07-21T02:39:37.000Z,51,2020-07-14T01:06:19.000Z,3989,https://audioboom.com/posts/7631476-408-palm-springs
123,407,Hamilton,"En este podcast, el primero que le dedicamos a una obra de teatro musical, hablamos durante casi dos horas sobre Hamilton, la obra maestra de Lin-Manuel Miranda. Escuchanos.

#Podcast #Teatro #Musical #Hamilton #LinManuelMiranda",2020-07-11T17:50:11.000Z,116,2020-07-08T23:02:08.000Z,4510,https://audioboom.com/posts/7627946-407-hamilton
124,406,Dark - 3era. Temporada,"En este podcast analizamos la tercera y última temporada de Dark con la ayuda de Agustín Eme. Si ya la terminaste, escuchanos.

#Podcast #Television #Series #Netflix #Dark",2020-07-03T16:37:56.000Z,56,2020-07-03T16:22:49.000Z,5924,https://audioboom.com/posts/7622621-406-dark-3era-temporada
125,405,Mad Men - 1era. Temporada,"Acá está. Nuestro podcast sobre la primera temporada de Mad Men, una de nuestras series favoritas. Es largo.

#Podcast #Television #Series #Clasicos #AMC #MadMen #MatthewWeiner #JonHamm #ElizabethMoss",2020-07-01T23:39:14.000Z,99,2020-06-30T02:08:21.000Z,5022,https://audioboom.com/posts/7619365-405-mad-men-1era-temporada
